Index,LCLid,StdorToU,DateTime,KWHhh,TimeOfDay
42,MAC000003,Std,2012-02-21T21:00:00,0.141000,21:00:00
43,MAC000003,Std,2012-02-21T21:30:00,0.200000,21:30:00
44,MAC000003,Std,2012-02-21T22:00:00,0.189000,22:00:00
45,MAC000003,Std,2012-02-21T22:30:00,0.210000,22:30:00
46,MAC000003,Std,2012-02-21T23:00:00,0.189000,23:00:00
47,MAC000003,Std,2012-02-21T23:30:00,0.144000,23:30:00
48,MAC000003,Std,2012-02-22T00:00:00,0.178000,00:00:00
49,MAC000003,Std,2012-02-22T00:30:00,1.971000,00:30:00
50,MAC000003,Std,2012-02-22T01:00:00,2.132000,01:00:00
51,MAC000003,Std,2012-02-22T01:30:00,1.810000,01:30:00
52,MAC000003,Std,2012-02-22T02:00:00,0.928000,02:00:00
53,MAC000003,Std,2012-02-22T02:30:00,1.669000,02:30:00
54,MAC000003,Std,2012-02-22T03:00:00,0.986000,03:00:00
55,MAC000003,Std,2012-02-22T03:30:00,1.219000,03:30:00
56,MAC000003,Std,2012-02-22T04:00:00,1.285000,04:00:00
57,MAC000003,Std,2012-02-22T04:30:00,1.054000,04:30:00
58,MAC000003,Std,2012-02-22T05:00:00,0.481000,05:00:00
59,MAC000003,Std,2012-02-22T05:30:00,0.190000,05:30:00
60,MAC000003,Std,2012-02-22T06:00:00,0.461000,06:00:00
61,MAC000003,Std,2012-02-22T06:30:00,0.064000,06:30:00
62,MAC000003,Std,2012-02-22T07:00:00,0.586000,07:00:00
63,MAC000003,Std,2012-02-22T07:30:00,0.109000,07:30:00
64,MAC000003,Std,2012-02-22T08:00:00,0.116000,08:00:00
65,MAC000003,Std,2012-02-22T08:30:00,0.131000,08:30:00
66,MAC000003,Std,2012-02-22T09:00:00,0.072000,09:00:00
67,MAC000003,Std,2012-02-22T09:30:00,0.185000,09:30:00
68,MAC000003,Std,2012-02-22T10:00:00,0.179000,10:00:00
69,MAC000003,Std,2012-02-22T10:30:00,0.170000,10:30:00
70,MAC000003,Std,2012-02-22T11:00:00,0.163000,11:00:00
71,MAC000003,Std,2012-02-22T11:30:00,0.109000,11:30:00
72,MAC000003,Std,2012-02-22T12:00:00,0.090000,12:00:00
73,MAC000003,Std,2012-02-22T12:30:00,0.112000,12:30:00
74,MAC000003,Std,2012-02-22T13:00:00,0.060000,13:00:00
75,MAC000003,Std,2012-02-22T13:30:00,0.112000,13:30:00
76,MAC000003,Std,2012-02-22T14:00:00,0.111000,14:00:00
77,MAC000003,Std,2012-02-22T14:30:00,0.110000,14:30:00
78,MAC000003,Std,2012-02-22T15:00:00,0.127000,15:00:00
79,MAC000003,Std,2012-02-22T15:30:00,0.071000,15:30:00
80,MAC000003,Std,2012-02-22T16:00:00,0.095000,16:00:00
81,MAC000003,Std,2012-02-22T16:30:00,0.092000,16:30:00
82,MAC000003,Std,2012-02-22T17:00:00,0.107000,17:00:00
83,MAC000003,Std,2012-02-22T17:30:00,0.287000,17:30:00
84,MAC000003,Std,2012-02-22T18:00:00,0.263000,18:00:00
85,MAC000003,Std,2012-02-22T18:30:00,0.188000,18:30:00
86,MAC000003,Std,2012-02-22T19:00:00,0.231000,19:00:00
87,MAC000003,Std,2012-02-22T19:30:00,0.176000,19:30:00
88,MAC000003,Std,2012-02-22T20:00:00,0.231000,20:00:00
89,MAC000003,Std,2012-02-22T20:30:00,0.207000,20:30:00
90,MAC000003,Std,2012-02-22T21:00:00,0.171000,21:00:00
91,MAC000003,Std,2012-02-22T21:30:00,0.178000,21:30:00
92,MAC000003,Std,2012-02-22T22:00:00,0.077000,22:00:00
93,MAC000003,Std,2012-02-22T22:30:00,0.072000,22:30:00
94,MAC000003,Std,2012-02-22T23:00:00,0.108000,23:00:00
95,MAC000003,Std,2012-02-22T23:30:00,0.085000,23:30:00
96,MAC000003,Std,2012-02-23T00:00:00,0.120000,00:00:00
97,MAC000003,Std,2012-02-23T00:30:00,1.991000,00:30:00
98,MAC000003,Std,2012-02-23T01:00:00,1.978000,01:00:00
99,MAC000003,Std,2012-02-23T01:30:00,1.717000,01:30:00
100,MAC000003,Std,2012-02-23T02:00:00,0.824000,02:00:00
101,MAC000003,Std,2012-02-23T02:30:00,1.157000,02:30:00
102,MAC000003,Std,2012-02-23T03:00:00,0.942000,03:00:00
103,MAC000003,Std,2012-02-23T03:30:00,0.965000,03:30:00
104,MAC000003,Std,2012-02-23T04:00:00,1.276000,04:00:00
105,MAC000003,Std,2012-02-23T04:30:00,0.594000,04:30:00
106,MAC000003,Std,2012-02-23T05:00:00,0.230000,05:00:00
107,MAC000003,Std,2012-02-23T05:30:00,0.709000,05:30:00
108,MAC000003,Std,2012-02-23T06:00:00,0.146000,06:00:00
109,MAC000003,Std,2012-02-23T06:30:00,0.187000,06:30:00
110,MAC000003,Std,2012-02-23T07:00:00,0.847000,07:00:00
111,MAC000003,Std,2012-02-23T07:30:00,0.122000,07:30:00
112,MAC000003,Std,2012-02-23T08:00:00,0.106000,08:00:00
113,MAC000003,Std,2012-02-23T08:30:00,0.091000,08:30:00
114,MAC000003,Std,2012-02-23T09:00:00,0.307000,09:00:00
115,MAC000003,Std,2012-02-23T09:30:00,0.289000,09:30:00
116,MAC000003,Std,2012-02-23T10:00:00,0.239000,10:00:00
117,MAC000003,Std,2012-02-23T10:30:00,0.341000,10:30:00
118,MAC000003,Std,2012-02-23T11:00:00,0.235000,11:00:00
119,MAC000003,Std,2012-02-23T11:30:00,0.188000,11:30:00
120,MAC000003,Std,2012-02-23T12:00:00,0.131000,12:00:00
121,MAC000003,Std,2012-02-23T12:30:00,0.207000,12:30:00
122,MAC000003,Std,2012-02-23T13:00:00,0.284000,13:00:00
123,MAC000003,Std,2012-02-23T13:30:00,0.707000,13:30:00
124,MAC000003,Std,2012-02-23T14:00:00,0.762000,14:00:00
125,MAC000003,Std,2012-02-23T14:30:00,0.283000,14:30:00
126,MAC000003,Std,2012-02-23T15:00:00,0.133000,15:00:00
127,MAC000003,Std,2012-02-23T15:30:00,0.126000,15:30:00
128,MAC000003,Std,2012-02-23T16:00:00,0.077000,16:00:00
129,MAC000003,Std,2012-02-23T16:30:00,0.124000,16:30:00
130,MAC000003,Std,2012-02-23T17:00:00,0.257000,17:00:00
131,MAC000003,Std,2012-02-23T17:30:00,0.253000,17:30:00
132,MAC000003,Std,2012-02-23T18:00:00,0.265000,18:00:00
133,MAC000003,Std,2012-02-23T18:30:00,0.696000,18:30:00
134,MAC000003,Std,2012-02-23T19:00:00,0.194000,19:00:00
135,MAC000003,Std,2012-02-23T19:30:00,0.263000,19:30:00
136,MAC000003,Std,2012-02-23T20:00:00,0.176000,20:00:00
137,MAC000003,Std,2012-02-23T20:30:00,0.195000,20:30:00
138,MAC000003,Std,2012-02-23T21:00:00,0.179000,21:00:00
139,MAC000003,Std,2012-02-23T21:30:00,0.145000,21:30:00
140,MAC000003,Std,2012-02-23T22:00:00,0.174000,22:00:00
141,MAC000003,Std,2012-02-23T22:30:00,0.179000,22:30:00
142,MAC000003,Std,2012-02-23T23:00:00,0.135000,23:00:00
143,MAC000003,Std,2012-02-23T23:30:00,0.148000,23:30:00
144,MAC000003,Std,2012-02-24T00:00:00,0.079000,00:00:00
145,MAC000003,Std,2012-02-24T00:30:00,0.765000,00:30:00
146,MAC000003,Std,2012-02-24T01:00:00,0.814000,01:00:00
147,MAC000003,Std,2012-02-24T01:30:00,0.807000,01:30:00
148,MAC000003,Std,2012-02-24T02:00:00,0.899000,02:00:00
149,MAC000003,Std,2012-02-24T02:30:00,0.935000,02:30:00
150,MAC000003,Std,2012-02-24T03:00:00,0.906000,03:00:00
151,MAC000003,Std,2012-02-24T03:30:00,0.928000,03:30:00
152,MAC000003,Std,2012-02-24T04:00:00,0.883000,04:00:00
153,MAC000003,Std,2012-02-24T04:30:00,0.416000,04:30:00
154,MAC000003,Std,2012-02-24T05:00:00,0.130000,05:00:00
155,MAC000003,Std,2012-02-24T05:30:00,0.115000,05:30:00
156,MAC000003,Std,2012-02-24T06:00:00,0.612000,06:00:00
157,MAC000003,Std,2012-02-24T06:30:00,0.088000,06:30:00
158,MAC000003,Std,2012-02-24T07:00:00,0.373000,07:00:00
159,MAC000003,Std,2012-02-24T07:30:00,0.188000,07:30:00
160,MAC000003,Std,2012-02-24T08:00:00,0.186000,08:00:00
161,MAC000003,Std,2012-02-24T08:30:00,0.341000,08:30:00
162,MAC000003,Std,2012-02-24T09:00:00,0.259000,09:00:00
163,MAC000003,Std,2012-02-24T09:30:00,0.231000,09:30:00
164,MAC000003,Std,2012-02-24T10:00:00,0.254000,10:00:00
165,MAC000003,Std,2012-02-24T10:30:00,0.281000,10:30:00
166,MAC000003,Std,2012-02-24T11:00:00,0.358000,11:00:00
167,MAC000003,Std,2012-02-24T11:30:00,0.327000,11:30:00
168,MAC000003,Std,2012-02-24T12:00:00,0.255000,12:00:00
169,MAC000003,Std,2012-02-24T12:30:00,0.159000,12:30:00
170,MAC000003,Std,2012-02-24T13:00:00,0.121000,13:00:00
171,MAC000003,Std,2012-02-24T13:30:00,0.229000,13:30:00
172,MAC000003,Std,2012-02-24T14:00:00,0.229000,14:00:00
173,MAC000003,Std,2012-02-24T14:30:00,0.176000,14:30:00
174,MAC000003,Std,2012-02-24T15:00:00,0.158000,15:00:00
175,MAC000003,Std,2012-02-24T15:30:00,0.078000,15:30:00
176,MAC000003,Std,2012-02-24T16:00:00,0.096000,16:00:00
177,MAC000003,Std,2012-02-24T16:30:00,0.071000,16:30:00
178,MAC000003,Std,2012-02-24T17:00:00,0.068000,17:00:00
179,MAC000003,Std,2012-02-24T17:30:00,0.143000,17:30:00
180,MAC000003,Std,2012-02-24T18:00:00,0.151000,18:00:00
181,MAC000003,Std,2012-02-24T18:30:00,0.156000,18:30:00
182,MAC000003,Std,2012-02-24T19:00:00,0.290000,19:00:00
183,MAC000003,Std,2012-02-24T19:30:00,0.710000,19:30:00
184,MAC000003,Std,2012-02-24T20:00:00,0.181000,20:00:00
185,MAC000003,Std,2012-02-24T20:30:00,0.554000,20:30:00
186,MAC000003,Std,2012-02-24T21:00:00,0.180000,21:00:00
187,MAC000003,Std,2012-02-24T21:30:00,0.205000,21:30:00
188,MAC000003,Std,2012-02-24T22:00:00,0.137000,22:00:00
189,MAC000003,Std,2012-02-24T22:30:00,0.153000,22:30:00
190,MAC000003,Std,2012-02-24T23:00:00,0.083000,23:00:00
191,MAC000003,Std,2012-02-24T23:30:00,0.059000,23:30:00
192,MAC000003,Std,2012-02-25T00:00:00,0.139000,00:00:00
193,MAC000003,Std,2012-02-25T00:30:00,0.767000,00:30:00
194,MAC000003,Std,2012-02-25T01:00:00,0.744000,01:00:00
195,MAC000003,Std,2012-02-25T01:30:00,0.780000,01:30:00
196,MAC000003,Std,2012-02-25T02:00:00,0.768000,02:00:00
197,MAC000003,Std,2012-02-25T02:30:00,0.842000,02:30:00
198,MAC000003,Std,2012-02-25T03:00:00,0.902000,03:00:00
199,MAC000003,Std,2012-02-25T03:30:00,0.895000,03:30:00
200,MAC000003,Std,2012-02-25T04:00:00,0.912000,04:00:00
201,MAC000003,Std,2012-02-25T04:30:00,0.861000,04:30:00
202,MAC000003,Std,2012-02-25T05:00:00,0.845000,05:00:00
203,MAC000003,Std,2012-02-25T05:30:00,0.869000,05:30:00
204,MAC000003,Std,2012-02-25T06:00:00,0.200000,06:00:00
205,MAC000003,Std,2012-02-25T06:30:00,0.433000,06:30:00
206,MAC000003,Std,2012-02-25T07:00:00,0.384000,07:00:00
207,MAC000003,Std,2012-02-25T07:30:00,0.234000,07:30:00
208,MAC000003,Std,2012-02-25T08:00:00,0.239000,08:00:00
209,MAC000003,Std,2012-02-25T08:30:00,0.282000,08:30:00
210,MAC000003,Std,2012-02-25T09:00:00,0.235000,09:00:00
211,MAC000003,Std,2012-02-25T09:30:00,0.106000,09:30:00
212,MAC000003,Std,2012-02-25T10:00:00,0.075000,10:00:00
213,MAC000003,Std,2012-02-25T10:30:00,0.073000,10:30:00
214,MAC000003,Std,2012-02-25T11:00:00,0.047000,11:00:00
215,MAC000003,Std,2012-02-25T11:30:00,0.125000,11:30:00
216,MAC000003,Std,2012-02-25T12:00:00,0.274000,12:00:00
217,MAC000003,Std,2012-02-25T12:30:00,0.318000,12:30:00
218,MAC000003,Std,2012-02-25T13:00:00,0.206000,13:00:00
219,MAC000003,Std,2012-02-25T13:30:00,0.177000,13:30:00
220,MAC000003,Std,2012-02-25T14:00:00,0.179000,14:00:00
221,MAC000003,Std,2012-02-25T14:30:00,0.221000,14:30:00
222,MAC000003,Std,2012-02-25T15:00:00,0.145000,15:00:00
223,MAC000003,Std,2012-02-25T15:30:00,0.125000,15:30:00
224,MAC000003,Std,2012-02-25T16:00:00,0.151000,16:00:00
225,MAC000003,Std,2012-02-25T16:30:00,0.114000,16:30:00
226,MAC000003,Std,2012-02-25T17:00:00,0.101000,17:00:00
227,MAC000003,Std,2012-02-25T17:30:00,0.125000,17:30:00
228,MAC000003,Std,2012-02-25T18:00:00,0.213000,18:00:00
229,MAC000003,Std,2012-02-25T18:30:00,0.163000,18:30:00
230,MAC000003,Std,2012-02-25T19:00:00,0.148000,19:00:00
231,MAC000003,Std,2012-02-25T19:30:00,0.156000,19:30:00
232,MAC000003,Std,2012-02-25T20:00:00,0.129000,20:00:00
233,MAC000003,Std,2012-02-25T20:30:00,0.146000,20:30:00
234,MAC000003,Std,2012-02-25T21:00:00,0.142000,21:00:00
235,MAC000003,Std,2012-02-25T21:30:00,0.148000,21:30:00
236,MAC000003,Std,2012-02-25T22:00:00,0.164000,22:00:00
237,MAC000003,Std,2012-02-25T22:30:00,0.080000,22:30:00
238,MAC000003,Std,2012-02-25T23:00:00,0.107000,23:00:00
239,MAC000003,Std,2012-02-25T23:30:00,0.145000,23:30:00
240,MAC000003,Std,2012-02-26T00:00:00,0.083000,00:00:00
241,MAC000003,Std,2012-02-26T00:30:00,0.806000,00:30:00
242,MAC000003,Std,2012-02-26T01:00:00,0.810000,01:00:00
243,MAC000003,Std,2012-02-26T01:30:00,0.817000,01:30:00
244,MAC000003,Std,2012-02-26T02:00:00,0.846000,02:00:00
245,MAC000003,Std,2012-02-26T02:30:00,0.834000,02:30:00
246,MAC000003,Std,2012-02-26T03:00:00,0.879000,03:00:00
247,MAC000003,Std,2012-02-26T03:30:00,0.943000,03:30:00
248,MAC000003,Std,2012-02-26T04:00:00,0.917000,04:00:00
249,MAC000003,Std,2012-02-26T04:30:00,0.932000,04:30:00
250,MAC000003,Std,2012-02-26T05:00:00,0.927000,05:00:00
251,MAC000003,Std,2012-02-26T05:30:00,0.875000,05:30:00
252,MAC000003,Std,2012-02-26T06:00:00,0.880000,06:00:00
253,MAC000003,Std,2012-02-26T06:30:00,0.303000,06:30:00
254,MAC000003,Std,2012-02-26T07:00:00,0.585000,07:00:00
255,MAC000003,Std,2012-02-26T07:30:00,0.149000,07:30:00
256,MAC000003,Std,2012-02-26T08:00:00,0.122000,08:00:00
257,MAC000003,Std,2012-02-26T08:30:00,0.202000,08:30:00
258,MAC000003,Std,2012-02-26T09:00:00,0.315000,09:00:00
259,MAC000003,Std,2012-02-26T09:30:00,0.239000,09:30:00
260,MAC000003,Std,2012-02-26T10:00:00,0.284000,10:00:00
261,MAC000003,Std,2012-02-26T10:30:00,0.226000,10:30:00
262,MAC000003,Std,2012-02-26T11:00:00,0.206000,11:00:00
263,MAC000003,Std,2012-02-26T11:30:00,0.162000,11:30:00
264,MAC000003,Std,2012-02-26T12:00:00,0.102000,12:00:00
265,MAC000003,Std,2012-02-26T12:30:00,0.084000,12:30:00
266,MAC000003,Std,2012-02-26T13:00:00,0.156000,13:00:00
267,MAC000003,Std,2012-02-26T13:30:00,0.675000,13:30:00
268,MAC000003,Std,2012-02-26T14:00:00,0.872000,14:00:00
269,MAC000003,Std,2012-02-26T14:30:00,0.247000,14:30:00
270,MAC000003,Std,2012-02-26T15:00:00,0.215000,15:00:00
271,MAC000003,Std,2012-02-26T15:30:00,0.203000,15:30:00
272,MAC000003,Std,2012-02-26T16:00:00,0.084000,16:00:00
273,MAC000003,Std,2012-02-26T16:30:00,0.112000,16:30:00
274,MAC000003,Std,2012-02-26T17:00:00,0.078000,17:00:00
275,MAC000003,Std,2012-02-26T17:30:00,0.162000,17:30:00
276,MAC000003,Std,2012-02-26T18:00:00,0.203000,18:00:00
277,MAC000003,Std,2012-02-26T18:30:00,0.107000,18:30:00
278,MAC000003,Std,2012-02-26T19:00:00,0.100000,19:00:00
279,MAC000003,Std,2012-02-26T19:30:00,0.107000,19:30:00
280,MAC000003,Std,2012-02-26T20:00:00,0.118000,20:00:00
281,MAC000003,Std,2012-02-26T20:30:00,0.202000,20:30:00
282,MAC000003,Std,2012-02-26T21:00:00,0.250000,21:00:00
283,MAC000003,Std,2012-02-26T21:30:00,0.195000,21:30:00
284,MAC000003,Std,2012-02-26T22:00:00,0.201000,22:00:00
285,MAC000003,Std,2012-02-26T22:30:00,0.240000,22:30:00
286,MAC000003,Std,2012-02-26T23:00:00,0.171000,23:00:00
287,MAC000003,Std,2012-02-26T23:30:00,0.147000,23:30:00
288,MAC000003,Std,2012-02-27T00:00:00,0.166000,00:00:00
289,MAC000003,Std,2012-02-27T00:30:00,1.348000,00:30:00
290,MAC000003,Std,2012-02-27T01:00:00,1.350000,01:00:00
291,MAC000003,Std,2012-02-27T01:30:00,1.404000,01:30:00
292,MAC000003,Std,2012-02-27T02:00:00,1.400000,02:00:00
293,MAC000003,Std,2012-02-27T02:30:00,1.421000,02:30:00
294,MAC000003,Std,2012-02-27T03:00:00,1.563000,03:00:00
295,MAC000003,Std,2012-02-27T03:30:00,1.305000,03:30:00
296,MAC000003,Std,2012-02-27T04:00:00,0.114000,04:00:00
297,MAC000003,Std,2012-02-27T04:30:00,0.113000,04:30:00
298,MAC000003,Std,2012-02-27T05:00:00,0.463000,05:00:00
299,MAC000003,Std,2012-02-27T05:30:00,0.108000,05:30:00
300,MAC000003,Std,2012-02-27T06:00:00,0.122000,06:00:00
301,MAC000003,Std,2012-02-27T06:30:00,0.420000,06:30:00
302,MAC000003,Std,2012-02-27T07:00:00,0.665000,07:00:00
303,MAC000003,Std,2012-02-27T07:30:00,0.234000,07:30:00
304,MAC000003,Std,2012-02-27T08:00:00,0.214000,08:00:00
305,MAC000003,Std,2012-02-27T08:30:00,0.313000,08:30:00
306,MAC000003,Std,2012-02-27T09:00:00,0.194000,09:00:00
307,MAC000003,Std,2012-02-27T09:30:00,0.290000,09:30:00
308,MAC000003,Std,2012-02-27T10:00:00,0.275000,10:00:00
309,MAC000003,Std,2012-02-27T10:30:00,0.271000,10:30:00
310,MAC000003,Std,2012-02-27T11:00:00,0.252000,11:00:00
311,MAC000003,Std,2012-02-27T11:30:00,0.234000,11:30:00
312,MAC000003,Std,2012-02-27T12:00:00,0.208000,12:00:00
313,MAC000003,Std,2012-02-27T12:30:00,0.275000,12:30:00
314,MAC000003,Std,2012-02-27T13:00:00,0.456000,13:00:00
315,MAC000003,Std,2012-02-27T13:30:00,0.198000,13:30:00
316,MAC000003,Std,2012-02-27T14:00:00,0.205000,14:00:00
317,MAC000003,Std,2012-02-27T14:30:00,0.157000,14:30:00
318,MAC000003,Std,2012-02-27T15:00:00,0.174000,15:00:00
319,MAC000003,Std,2012-02-27T15:30:00,0.177000,15:30:00
320,MAC000003,Std,2012-02-27T16:00:00,0.102000,16:00:00
321,MAC000003,Std,2012-02-27T16:30:00,0.126000,16:30:00
322,MAC000003,Std,2012-02-27T17:00:00,0.188000,17:00:00
323,MAC000003,Std,2012-02-27T17:30:00,0.264000,17:30:00
324,MAC000003,Std,2012-02-27T18:00:00,0.315000,18:00:00
325,MAC000003,Std,2012-02-27T18:30:00,0.262000,18:30:00
326,MAC000003,Std,2012-02-27T19:00:00,0.331000,19:00:00
327,MAC000003,Std,2012-02-27T19:30:00,0.233000,19:30:00
328,MAC000003,Std,2012-02-27T20:00:00,0.140000,20:00:00
329,MAC000003,Std,2012-02-27T20:30:00,0.170000,20:30:00
330,MAC000003,Std,2012-02-27T21:00:00,0.169000,21:00:00
331,MAC000003,Std,2012-02-27T21:30:00,0.160000,21:30:00
332,MAC000003,Std,2012-02-27T22:00:00,0.221000,22:00:00
333,MAC000003,Std,2012-02-27T22:30:00,0.199000,22:30:00
334,MAC000003,Std,2012-02-27T23:00:00,0.138000,23:00:00
335,MAC000003,Std,2012-02-27T23:30:00,0.130000,23:30:00
336,MAC000003,Std,2012-02-28T00:00:00,0.078000,00:00:00
337,MAC000003,Std,2012-02-28T00:30:00,1.287000,00:30:00
338,MAC000003,Std,2012-02-28T01:00:00,1.404000,01:00:00
339,MAC000003,Std,2012-02-28T01:30:00,0.915000,01:30:00
340,MAC000003,Std,2012-02-28T02:00:00,0.151000,02:00:00
341,MAC000003,Std,2012-02-28T02:30:00,0.469000,02:30:00
342,MAC000003,Std,2012-02-28T03:00:00,0.100000,03:00:00
343,MAC000003,Std,2012-02-28T03:30:00,0.110000,03:30:00
344,MAC000003,Std,2012-02-28T04:00:00,0.394000,04:00:00
345,MAC000003,Std,2012-02-28T04:30:00,0.142000,04:30:00
346,MAC000003,Std,2012-02-28T05:00:00,0.172000,05:00:00
347,MAC000003,Std,2012-02-28T05:30:00,0.470000,05:30:00
348,MAC000003,Std,2012-02-28T06:00:00,0.121000,06:00:00
349,MAC000003,Std,2012-02-28T06:30:00,0.151000,06:30:00
350,MAC000003,Std,2012-02-28T07:00:00,1.007000,07:00:00
351,MAC000003,Std,2012-02-28T07:30:00,0.270000,07:30:00
352,MAC000003,Std,2012-02-28T08:00:00,0.320000,08:00:00
353,MAC000003,Std,2012-02-28T08:30:00,0.279000,08:30:00
354,MAC000003,Std,2012-02-28T09:00:00,0.225000,09:00:00
355,MAC000003,Std,2012-02-28T09:30:00,0.255000,09:30:00
356,MAC000003,Std,2012-02-28T10:00:00,0.280000,10:00:00
357,MAC000003,Std,2012-02-28T10:30:00,0.218000,10:30:00
358,MAC000003,Std,2012-02-28T11:00:00,0.257000,11:00:00
359,MAC000003,Std,2012-02-28T11:30:00,0.295000,11:30:00
360,MAC000003,Std,2012-02-28T12:00:00,0.211000,12:00:00
361,MAC000003,Std,2012-02-28T12:30:00,0.222000,12:30:00
362,MAC000003,Std,2012-02-28T13:00:00,0.162000,13:00:00
363,MAC000003,Std,2012-02-28T13:30:00,0.122000,13:30:00
364,MAC000003,Std,2012-02-28T14:00:00,0.141000,14:00:00
365,MAC000003,Std,2012-02-28T14:30:00,0.126000,14:30:00
366,MAC000003,Std,2012-02-28T15:00:00,0.169000,15:00:00
367,MAC000003,Std,2012-02-28T15:30:00,0.148000,15:30:00
368,MAC000003,Std,2012-02-28T16:00:00,0.096000,16:00:00
369,MAC000003,Std,2012-02-28T16:30:00,0.127000,16:30:00
370,MAC000003,Std,2012-02-28T17:00:00,0.140000,17:00:00
371,MAC000003,Std,2012-02-28T17:30:00,0.194000,17:30:00
372,MAC000003,Std,2012-02-28T18:00:00,0.285000,18:00:00
373,MAC000003,Std,2012-02-28T18:30:00,0.188000,18:30:00
374,MAC000003,Std,2012-02-28T19:00:00,0.251000,19:00:00
375,MAC000003,Std,2012-02-28T19:30:00,0.195000,19:30:00
376,MAC000003,Std,2012-02-28T20:00:00,0.668000,20:00:00
377,MAC000003,Std,2012-02-28T20:30:00,0.410000,20:30:00
378,MAC000003,Std,2012-02-28T21:00:00,0.377000,21:00:00
379,MAC000003,Std,2012-02-28T21:30:00,0.445000,21:30:00
380,MAC000003,Std,2012-02-28T22:00:00,0.229000,22:00:00
381,MAC000003,Std,2012-02-28T22:30:00,0.360000,22:30:00
382,MAC000003,Std,2012-02-28T23:00:00,0.159000,23:00:00
383,MAC000003,Std,2012-02-28T23:30:00,0.157000,23:30:00
384,MAC000003,Std,2012-02-29T00:00:00,0.108000,00:00:00
385,MAC000003,Std,2012-02-29T00:30:00,1.375000,00:30:00
386,MAC000003,Std,2012-02-29T01:00:00,1.449000,01:00:00
387,MAC000003,Std,2012-02-29T01:30:00,1.026000,01:30:00
388,MAC000003,Std,2012-02-29T02:00:00,0.128000,02:00:00
389,MAC000003,Std,2012-02-29T02:30:00,0.443000,02:30:00
390,MAC000003,Std,2012-02-29T03:00:00,0.079000,03:00:00
391,MAC000003,Std,2012-02-29T03:30:00,0.416000,03:30:00
392,MAC000003,Std,2012-02-29T04:00:00,0.123000,04:00:00
393,MAC000003,Std,2012-02-29T04:30:00,0.135000,04:30:00
394,MAC000003,Std,2012-02-29T05:00:00,0.438000,05:00:00
395,MAC000003,Std,2012-02-29T05:30:00,0.088000,05:30:00
396,MAC000003,Std,2012-02-29T06:00:00,0.135000,06:00:00
397,MAC000003,Std,2012-02-29T06:30:00,0.476000,06:30:00
